iter	Passed	Remaining
0	156	155858
1	157	78438
2	158	52516
3	158	39500
4	159	31671
5	159	26455
6	160	22746
7	160	19957
8	161	17793
9	162	16062
10	162	14638
11	163	13450
12	163	12443
13	164	11582
14	165	10844
15	165	10192
16	166	9617
17	167	9111
18	167	8654
19	168	8242
20	168	7873
21	169	7537
22	170	7231
23	170	6948
24	171	6689
25	172	6447
26	172	6227
27	173	6019
28	174	5827
29	174	5646
30	175	5477
31	175	5319
32	176	5171
33	177	5031
34	177	4898
35	178	4772
36	178	4653
37	179	4541
38	180	4436
39	180	4335
40	181	4240
41	181	4149
42	182	4063
43	183	3981
44	183	3903
45	184	3827
46	185	3754
47	185	3684
48	186	3617
49	187	3555
50	187	3495
51	188	3437
52	189	3380
53	189	3325
54	190	3272
55	191	3220
56	191	3169
57	192	3120
58	192	3073
59	193	3027
60	193	2983
61	194	2940
62	195	2902
63	195	2863
64	196	2825
65	197	2788
66	197	2753
67	198	2717
68	198	2684
69	199	2650
70	200	2618
71	200	2587
72	201	2556
73	201	2526
74	202	2499
75	203	2471
76	203	2443
77	204	2416
78	205	2391
79	205	2366
80	206	2341
81	207	2317
82	207	2291
83	207	2267
84	208	2244
85	209	2222
86	209	2202
87	210	2181
88	211	2162
89	211	2142
90	212	2122
91	213	2103
92	213	2084
93	214	2065
94	214	2047
95	215	2029
96	216	2011
97	216	1994
98	217	1978
99	218	1962
100	218	1946
101	219	1930
102	219	1914
103	220	1899
104	221	1884
105	221	1868
106	222	1854
107	222	1839
108	223	1825
109	223	1811
110	224	1799
111	225	1786
112	225	1773
113	226	1760
114	227	1747
115	227	1734
116	228	1721
117	228	1709
118	229	1697
119	229	1685
120	230	1673
121	230	1661
122	231	1649
123	232	1640
124	232	1629
125	233	1619
126	233	1608
127	234	1598
128	235	1588
129	235	1578
130	236	1568
131	236	1558
132	237	1548
133	238	1538
134	238	1529
135	239	1520
136	240	1512
137	240	1503
138	241	1495
139	242	1488
140	242	1479
141	243	1469
142	243	1462
143	244	1453
144	245	1445
145	245	1437
146	246	1430
147	247	1423
148	247	1416
149	248	1408
150	249	1400
151	249	1393
152	250	1385
153	250	1378
154	251	1370
155	252	1363
156	252	1356
157	253	1348
158	253	1342
159	254	1336
160	255	1329
161	255	1322
162	256	1315
163	256	1309
164	257	1303
165	258	1297
166	258	1290
167	259	1284
168	259	1277
169	260	1271
170	261	1265
171	261	1260
172	262	1254
173	263	1248
174	263	1242
175	264	1236
176	264	1231
177	265	1225
178	265	1219
179	266	1214
180	267	1208
181	267	1203
182	268	1198
183	269	1193
184	269	1188
185	270	1183
186	271	1178
187	271	1173
188	272	1168
189	272	1163
190	273	1158
191	274	1153
192	274	1148
193	275	1143
194	275	1139
195	276	1134
196	277	1130
197	278	1126
198	278	1121
199	279	1116
200	279	1112
201	280	1107
202	281	1103
203	281	1099
204	282	1094
205	282	1089
206	283	1086
207	284	1082
208	284	1078
209	285	1073
210	286	1069
211	286	1065
212	287	1061
213	287	1057
214	288	1053
215	289	1049
216	289	1045
217	290	1040
218	290	1037
219	291	1033
220	292	1029
221	292	1025
222	293	1021
223	293	1017
224	294	1014
225	295	1011
226	295	1007
227	296	1003
228	297	1000
229	297	996
230	298	993
231	299	990
232	299	987
233	300	983
234	301	980
235	301	977
236	302	973
237	303	970
238	303	967
239	304	963
240	304	960
241	305	958
242	306	954
243	307	951
244	307	948
245	308	945
246	309	942
247	309	939
248	310	936
249	311	933
250	311	930
251	312	927
252	312	923
253	313	921
254	314	919
255	315	916
256	316	914
257	316	911
258	317	909
259	318	906
260	319	903
261	319	900
262	320	897
263	321	895
264	322	895
265	323	892
266	324	889
267	324	887
268	325	884
269	326	881
270	326	879
271	327	876
272	328	873
273	328	871
274	329	869
275	330	866
276	331	864
277	331	862
278	332	859
279	333	857
280	334	854
281	334	852
282	335	849
283	336	848
284	337	846
285	338	844
286	338	841
287	339	839
288	340	837
289	340	834
290	341	831
291	342	829
292	342	827
293	343	825
294	344	822
295	345	820
296	345	818
297	346	816
298	347	813
299	347	811
300	348	809
301	349	807
302	349	805
303	351	804
304	352	802
305	353	801
306	354	799
307	354	797
308	355	795
309	356	793
310	357	790
311	358	789
312	358	787
313	359	785
314	360	783
315	361	782
316	362	781
317	363	779
318	364	777
319	365	776
320	367	776
321	368	775
322	369	773
323	369	771
324	370	770
325	372	770
326	373	769
327	374	767
328	375	766
329	376	764
330	377	762
331	378	761
332	380	761
333	380	759
334	381	757
335	382	756
336	383	754
337	384	752
338	385	750
339	385	748
340	386	747
341	387	745
342	388	743
343	389	742
344	389	740
345	390	738
346	391	737
347	392	735
348	393	733
349	394	732
350	395	730
351	395	728
352	396	726
353	397	724
354	397	722
355	398	720
356	399	719
357	399	717
358	400	715
359	403	716
360	403	714
361	404	712
362	405	710
363	406	709
364	407	708
365	408	707
366	411	709
367	411	707
368	412	705
369	413	704
370	414	702
371	415	700
372	416	699
373	417	698
374	417	696
